brand,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
opel,benzin,manuell,150000,corsa,1000,125,2005
mercedes_benz,benzin,automatik,40000,c_klasse,25000,156,2015
daihatsu,benzin,manuell,90000,cuore,2000,69,2008
ford,benzin,manuell,150000,c_max,1500,101,2005
opel,benzin,manuell,150000,vectra,1500,101,2000
mercedes_benz,diesel,manuell,150000,g_klasse,30000,95,1995
volkswagen,diesel,manuell,125000,golf,6000,105,2006
bmw,benzin,manuell,150000,3er,5000,173,2006
peugeot,benzin,manuell,150000,2_reihe,1000,75,2005
volkswagen,benzin,manuell,150000,scirocco,5000,112,1990
mini,benzin,manuell,125000,cooper,2000,90,2005
mercedes_benz,benzin,automatik,150000,gl,35000,435,2013
opel,diesel,manuell,150000,vectra,1000,150,2005
ford,diesel,manuell,150000,focus,2000,90,2000
bmw,benzin,automatik,150000,3er,17500,306,2010
volkswagen,diesel,manuell,150000,tiguan,11000,140,2012
mercedes_benz,benzin,automatik,150000,andere,3000,200,1980
hyundai,diesel,manuell,150000,i_reihe,3000,90,2010
audi,diesel,manuell,125000,a6,10000,136,2011
volkswagen,benzin,manuell,150000,golf,2500,75,2005
audi,benzin,manuell,150000,a3,7000,122,2010
bmw,benzin,manuell,150000,3er,7000,150,2005
mercedes_benz,benzin,manuell,150000,slk,22500,180,1985
mercedes_benz,benzin,manuell,125000,slk,14000,272,2005
mercedes_benz,diesel,automatik,70000,c_klasse,15000,170,2013
opel,benzin,manuell,40000,meriva,10000,120,2011
audi,diesel,automatik,150000,a6,20000,204,2013
bmw,diesel,automatik,150000,3er,17500,184,2012
volkswagen,benzin,manuell,150000,golf,1000,75,2000
bmw,benzin,manuell,150000,3er,2000,150,1995
audi,benzin,automatik,20000,a5,40000,252,2015
audi,benzin,manuell,150000,80,2500,116,1995
volkswagen,diesel,manuell,90000,golf,11000,105,2013
mini,benzin,manuell,125000,cooper,9000,120,2009
volkswagen,benzin,automatik,150000,touareg,8000,220,2005
audi,benzin,automatik,150000,a8,3000,299,1995
opel,benzin,manuell,150000,corsa,2500,60,2009
opel,diesel,automatik,150000,omega,2500,150,2005
bmw,benzin,manuell,40000,1er,17500,170,2011
smart,diesel,automatik,150000,fortwo,2500,45,2007
volkswagen,diesel,manuell,100000,passat,7000,130,2007
renault,benzin,manuell,60000,twingo,7000,70,2015
ford,benzin,manuell,10000,b_max,9000,90,2013
volkswagen,diesel,manuell,150000,polo,500,60,2000
volkswagen,benzin,manuell,150000,polo,1500,55,2005
volkswagen,benzin,manuell,150000,golf,9000,116,1995
volkswagen,diesel,manuell,150000,golf,4500,105,2009
renault,benzin,manuell,150000,twingo,1000,75,2005
volkswagen,benzin,automatik,60000,golf,9000,122,2009
skoda,benzin,automatik,5000,karoq,30000,150,2015
audi,benzin,manuell,150000,a8,1000,174,2000
bmw,benzin,manuell,150000,3er,8000,258,2005
opel,benzin,manuell,150000,astra,1000,75,2000
seat,benzin,manuell,150000,ibiza,2000,60,2007
audi,diesel,automatik,150000,a6,11000,190,2010
volkswagen,diesel,manuell,150000,golf,1500,60,1995
bmw,diesel,manuell,150000,3er,1500,118,2005
renault,benzin,manuell,150000,clio,2500,75,2007
ford,benzin,manuell,5000,mustang,55000,466,2015
fiat,benzin,manuell,20000,punto,3500,77,2009
audi,benzin,automatik,150000,a6,11000,177,2006
volkswagen,benzin,manuell,150000,golf,1500,115,2000
bmw,diesel,manuell,150000,3er,2000,136,2000
audi,diesel,automatik,150000,a4,9000,326,2007
renault,benzin,manuell,150000,twingo,1000,54,2000
volkswagen,diesel,automatik,150000,touran,5000,140,2007
volkswagen,benzin,manuell,40000,up,8000,60,2015
ford,benzin,manuell,150000,focus,2000,116,2005
peugeot,benzin,manuell,125000,3_reihe,4500,156,2010
opel,diesel,manuell,150000,zafira,3500,150,2005
bmw,diesel,manuell,150000,3er,11000,177,2009
nissan,benzin,manuell,50000,juke,11000,116,2015
toyota,diesel,manuell,150000,andere,17500,163,2005
opel,diesel,automatik,150000,zafira,10000,165,2013
ford,benzin,manuell,150000,mondeo,1500,110,2005
mini,benzin,manuell,150000,cooper,13000,184,2012
smart,benzin,automatik,40000,fortwo,15000,102,2014
skoda,benzin,manuell,30000,fabia,7000,69,2009
audi,benzin,automatik,150000,s6,5000,340,2000
volkswagen,benzin,manuell,150000,golf,1000,75,2000
mercedes_benz,benzin,manuell,150000,e_klasse,2000,170,2000
audi,diesel,automatik,150000,a3,11000,150,2013
mini,benzin,manuell,40000,one,14000,102,2015
daihatsu,benzin,manuell,20000,andere,3000,95,1995
toyota,benzin,manuell,150000,corolla,1000,75,2000
bmw,benzin,automatik,150000,3er,4000,150,2005
honda,benzin,automatik,150000,jazz,3000,83,2005
audi,diesel,automatik,125000,a6,22500,190,2015
bmw,benzin,manuell,150000,5er,10000,190,2008
mercedes_benz,benzin,manuell,60000,andere,8000,95,1990
opel,benzin,automatik,5000,omega,1000,115,1995
volkswagen,benzin,manuell,150000,polo,1000,101,2000
mercedes_benz,benzin,automatik,150000,clk,6000,193,2000
bmw,benzin,manuell,150000,5er,2500,150,1995
opel,benzin,manuell,150000,corsa,1500,75,2005
opel,benzin,manuell,125000,corsa,500,75,2005
volkswagen,benzin,automatik,80000,golf,20000,265,2013
bmw,benzin,manuell,100000,3er,1500,102,1995
bmw,benzin,manuell,150000,5er,2000,150,2000
peugeot,benzin,manuell,90000,2_reihe,4000,75,2012
porsche,benzin,automatik,10000,andere,90000,450,2015
mercedes_benz,benzin,automatik,150000,s_klasse,4500,224,2005
porsche,benzin,automatik,40000,andere,90000,400,2014
audi,benzin,automatik,150000,a3,2000,101,2000
audi,diesel,automatik,50000,a6,35000,204,2014
bmw,benzin,manuell,150000,3er,1000,99,1995
opel,benzin,manuell,150000,corsa,1000,60,2000
chrysler,benzin,automatik,90000,andere,6000,163,2000
opel,benzin,manuell,125000,astra,1000,75,2000
audi,benzin,manuell,70000,q5,27500,179,2014
skoda,benzin,manuell,150000,octavia,2000,116,2005
mercedes_benz,benzin,automatik,150000,andere,2500,1850,2000
volkswagen,benzin,manuell,150000,passat,2500,150,2005
honda,benzin,automatik,150000,andere,1500,75,2000
bmw,benzin,manuell,150000,3er,1500,115,2000
volkswagen,benzin,manuell,150000,fox,3500,55,2009
mercedes_benz,diesel,automatik,70000,c_klasse,27500,170,2014
volkswagen,diesel,manuell,150000,transporter,4500,131,2005
audi,benzin,manuell,150000,a3,1000,102,2000
fiat,benzin,manuell,20000,500,15000,145,2015
audi,diesel,manuell,100000,a5,17500,136,2015
opel,benzin,manuell,50000,adam,9000,100,2014
mercedes_benz,diesel,manuell,5000,sprinter,45000,190,2015
opel,diesel,manuell,150000,combo,3000,75,2010
audi,diesel,automatik,150000,q7,13000,132,2006
ford,diesel,automatik,150000,focus,5000,140,2012
volkswagen,benzin,manuell,125000,polo,2500,64,2005
audi,benzin,manuell,150000,80,1000,90,1990
ford,diesel,manuell,125000,transit,2000,90,2005
audi,benzin,automatik,150000,a6,5000,299,2005
bmw,diesel,automatik,80000,1er,13000,116,2014
opel,benzin,manuell,150000,astra,2000,116,2000
mercedes_benz,benzin,automatik,150000,slk,10000,163,2007
audi,benzin,automatik,90000,a3,4500,102,2009
mitsubishi,benzin,manuell,150000,outlander,2500,136,2005
mercedes_benz,diesel,manuell,150000,c_klasse,6000,136,2010
mini,benzin,manuell,40000,one,14000,102,2015
saab,benzin,manuell,150000,andere,1500,150,1995
bmw,diesel,manuell,150000,3er,9000,204,2006
bmw,diesel,manuell,150000,3er,7000,143,2009
volkswagen,benzin,manuell,60000,polo,8000,69,2012
audi,benzin,automatik,20000,andere,90000,610,2015
peugeot,diesel,manuell,150000,3_reihe,6000,150,2013
bmw,benzin,manuell,150000,3er,1500,150,2000
citroen,diesel,automatik,150000,andere,9000,156,2010
volkswagen,benzin,manuell,150000,touran,10000,140,2008
opel,benzin,manuell,150000,corsa,500,58,2005
ford,benzin,automatik,50000,andere,25000,309,2015
opel,benzin,manuell,150000,zafira,1000,101,2000
fiat,benzin,manuell,30000,panda,3000,69,2009
opel,benzin,manuell,150000,corsa,1500,58,2005
volkswagen,diesel,automatik,125000,touareg,20000,340,2010
volkswagen,benzin,manuell,125000,golf,2000,75,2000
volkswagen,diesel,manuell,150000,golf,10000,150,2014
bmw,benzin,automatik,150000,5er,1500,150,2000
bmw,benzin,manuell,150000,3er,4000,116,1995
volkswagen,benzin,manuell,150000,lupo,1000,50,2000
audi,benzin,automatik,150000,a6,22500,580,2008
mini,benzin,manuell,125000,cooper,8000,116,2006
opel,lpg,manuell,150000,astra,4000,116,2009
ford,benzin,manuell,125000,fiesta,2000,60,2005
porsche,benzin,automatik,50000,andere,60000,345,2011
audi,diesel,automatik,20000,a8,80000,286,2015
porsche,benzin,automatik,30000,andere,90000,370,2015
peugeot,diesel,manuell,150000,2_reihe,4500,109,2008
volkswagen,benzin,manuell,90000,up,5000,60,2015
audi,diesel,automatik,20000,a6,40000,190,2015
renault,diesel,manuell,150000,espace,2500,135,2005
hyundai,benzin,manuell,150000,tucson,5000,141,2007
bmw,diesel,manuell,125000,3er,17500,143,2014
mercedes_benz,benzin,manuell,150000,a_klasse,3000,95,2007
bmw,diesel,automatik,40000,2er,25000,150,2015
mercedes_benz,benzin,manuell,150000,e_klasse,4500,160,1995
kia,diesel,manuell,70000,rio,11000,90,2015
audi,benzin,manuell,20000,a4,27500,150,2015
volkswagen,benzin,manuell,125000,touran,5000,110,2005
renault,diesel,manuell,125000,andere,17500,145,2015
volkswagen,benzin,manuell,150000,polo,2500,54,2005
opel,benzin,manuell,150000,corsa,1000,68,2005
skoda,benzin,manuell,125000,fabia,1000,75,2005
volkswagen,diesel,manuell,150000,passat,7000,140,2011
ford,benzin,manuell,5000,mustang,70000,460,2015
mercedes_benz,benzin,manuell,150000,clk,1000,197,2000
dacia,benzin,manuell,30000,sandero,6000,73,2015
volkswagen,benzin,manuell,150000,lupo,1500,50,2000
mitsubishi,benzin,manuell,60000,asx,10000,117,2010
mercedes_benz,diesel,automatik,125000,c_klasse,22500,163,2014
audi,benzin,manuell,150000,a3,25000,600,2005
