brand,car_type,color,mileage,model,price,ps,year_of_registration
volkswagen,bus,,150000,touran,4000,105,2005
opel,kombi,,150000,vectra,1000,116,2000
opel,coupe,schwarz,70000,astra,4500,90,2009
bmw,cabrio,,100000,6er,22500,367,2005
audi,cabrio,schwarz,150000,a4,6000,170,2005
peugeot,cabrio,blau,150000,2_reihe,,109,2005
mazda,kombi,gruen,150000,3_reihe,500,78,2000
audi,limousine,grau,150000,a6,2500,150,1995
suzuki,suv,schwarz,80000,vitara,2500,80,1995
mercedes_benz,cabrio,,40000,sl,70000,435,2014
mazda,limousine,,5000,3_reihe,1000,88,2000
audi,limousine,grau,150000,a3,5000,250,2005
opel,kleinwagen,blau,150000,corsa,1000,60,2000
mercedes_benz,limousine,silber,150000,andere,1500,130,2005
volkswagen,limousine,grau,150000,golf,3000,116,2005
audi,coupe,silber,150000,tt,13000,300,2007
honda,coupe,silber,150000,civic,1500,90,2000
ford,andere,silber,150000,transit,2500,90,2005
opel,kombi,grau,150000,astra,3000,140,2006
citroen,limousine,silber,125000,c3,1500,73,2007
audi,,,150000,a3,13000,,2009
peugeot,cabrio,rot,150000,3_reihe,2000,109,2005
seat,limousine,rot,70000,leon,8000,160,2009
bmw,limousine,schwarz,150000,5er,,200,2000
kia,limousine,blau,125000,ceed,2500,105,2006
audi,limousine,silber,150000,a4,5000,131,2005
mercedes_benz,bus,silber,150000,a_klasse,2000,95,2005
mercedes_benz,kombi,blau,150000,e_klasse,5000,136,1985
volkswagen,limousine,schwarz,150000,golf,14000,211,2011
ford,kombi,schwarz,150000,focus,2000,136,2008
bmw,limousine,rot,150000,5er,13000,192,1995
mercedes_benz,coupe,schwarz,150000,cl,5000,299,2005
ford,,schwarz,150000,focus,4000,109,2010
skoda,limousine,blau,80000,fabia,4500,69,2009
volkswagen,kleinwagen,schwarz,150000,golf,1000,75,2000
bmw,limousine,beige,150000,3er,6000,163,2006
opel,limousine,schwarz,150000,zafira,250,105,2005
mercedes_benz,limousine,,150000,e_klasse,1500,118,1995
seat,kleinwagen,schwarz,100000,ibiza,8000,86,2012
