brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
audi,kombi,grau,diesel,automatik,150000,andere,6000,272,2006
renault,kleinwagen,weiss,benzin,manuell,60000,clio,500,54,1995
mini,kleinwagen,blau,benzin,manuell,150000,cooper,7000,184,2010
bmw,cabrio,schwarz,benzin,automatik,150000,3er,17500,306,2007
citroen,bus,weiss,benzin,manuell,90000,berlingo,6000,90,2011
opel,bus,weiss,diesel,manuell,150000,andere,3000,90,2007
volkswagen,kleinwagen,blau,benzin,manuell,70000,polo,5000,80,2007
renault,kombi,silber,diesel,manuell,5000,megane,1000,134,2006
toyota,bus,grau,diesel,manuell,150000,verso,3500,177,2006
honda,limousine,rot,benzin,manuell,150000,civic,5000,99,2009
mercedes_benz,kombi,blau,diesel,automatik,150000,c_klasse,17500,170,2015
daewoo,kombi,blau,benzin,manuell,20000,nubira,1000,126,2005
volkswagen,kleinwagen,rot,benzin,manuell,150000,polo,1500,75,2000
mercedes_benz,limousine,braun,benzin,automatik,150000,s_klasse,20000,286,1980
mercedes_benz,bus,grau,diesel,automatik,150000,b_klasse,4000,109,2005
opel,limousine,schwarz,benzin,manuell,150000,astra,3000,84,2005
audi,kleinwagen,schwarz,diesel,manuell,80000,a1,11000,90,2013
trabant,limousine,blau,benzin,manuell,5000,601,1000,26,1990
renault,limousine,schwarz,benzin,manuell,20000,megane,15000,132,2015
ford,kleinwagen,weiss,benzin,manuell,60000,fiesta,3500,60,2009
peugeot,suv,schwarz,diesel,automatik,150000,andere,12000,163,2012
bmw,bus,silber,diesel,automatik,70000,2er,20000,150,2015
audi,suv,blau,diesel,automatik,150000,q5,25000,253,2014
volkswagen,kleinwagen,silber,benzin,manuell,30000,polo,6000,60,2009
kia,kleinwagen,weiss,benzin,manuell,80000,picanto,5000,69,2012
volkswagen,kleinwagen,rot,diesel,automatik,150000,transporter,1500,62,2005
volkswagen,bus,silber,diesel,manuell,150000,transporter,6000,130,2005
volkswagen,kleinwagen,grau,benzin,manuell,125000,golf,6000,80,2006
mercedes_benz,kombi,schwarz,benzin,manuell,30000,b_klasse,15000,122,2014
audi,kombi,blau,benzin,automatik,125000,a6,12000,256,2006
renault,bus,weiss,diesel,automatik,150000,andere,10000,145,2007
mazda,coupe,rot,benzin,manuell,150000,mx_reihe,500,165,1995
volkswagen,bus,grau,diesel,manuell,150000,transporter,15000,174,2006
volkswagen,limousine,silber,benzin,manuell,150000,passat,1000,101,2000
opel,kombi,rot,benzin,manuell,150000,astra,1500,116,2000
mercedes_benz,bus,silber,diesel,automatik,150000,viano,7000,150,2005
volkswagen,kleinwagen,rot,benzin,manuell,150000,golf,500,60,2000
ford,kombi,weiss,diesel,manuell,80000,mondeo,13000,116,2015
land_rover,suv,weiss,benzin,manuell,80000,defender,14000,136,1995
peugeot,kleinwagen,grau,benzin,manuell,150000,2_reihe,1500,75,2000
mercedes_benz,suv,weiss,benzin,manuell,40000,andere,22500,155,2015
fiat,kleinwagen,blau,benzin,manuell,60000,panda,2500,54,2009
volkswagen,kleinwagen,weiss,benzin,manuell,90000,up,7000,60,2014
volkswagen,bus,blau,diesel,manuell,150000,touran,3500,105,2005
ford,kleinwagen,gruen,diesel,manuell,150000,fiesta,2500,90,2008
opel,kleinwagen,blau,benzin,manuell,150000,corsa,2500,80,2009
bmw,kleinwagen,schwarz,benzin,manuell,150000,3er,3500,116,2007
alfa_romeo,limousine,schwarz,benzin,manuell,150000,andere,2000,120,2005
volkswagen,kombi,grau,diesel,automatik,150000,golf,6000,140,2010
volkswagen,kleinwagen,weiss,benzin,manuell,10000,up,14000,75,2015
mercedes_benz,kleinwagen,rot,diesel,manuell,150000,a_klasse,2000,95,2008
mercedes_benz,limousine,rot,benzin,manuell,150000,c_klasse,7000,143,2006
mercedes_benz,limousine,silber,benzin,manuell,150000,a_klasse,1000,82,2000
mercedes_benz,kombi,silber,diesel,automatik,150000,c_klasse,11000,204,2011
toyota,kleinwagen,weiss,benzin,manuell,40000,aygo,8000,64,2015
bmw,limousine,schwarz,benzin,manuell,150000,3er,4500,150,2006
bmw,coupe,silber,benzin,manuell,150000,3er,1500,116,2005
honda,limousine,schwarz,diesel,manuell,150000,civic,5000,140,2009
mercedes_benz,limousine,grau,diesel,automatik,100000,e_klasse,17500,170,2012
skoda,kleinwagen,rot,benzin,manuell,125000,fabia,4500,60,2011
audi,kleinwagen,weiss,benzin,manuell,70000,a1,13000,86,2014
volkswagen,kleinwagen,orange,diesel,manuell,150000,golf,7000,105,2010
bmw,bus,schwarz,diesel,automatik,50000,2er,30000,190,2015
saab,cabrio,schwarz,benzin,manuell,150000,andere,2000,154,2000
audi,coupe,schwarz,benzin,automatik,50000,andere,90000,610,2015
mercedes_benz,cabrio,schwarz,diesel,automatik,150000,e_klasse,20000,231,2011
skoda,kleinwagen,schwarz,benzin,manuell,60000,fabia,6000,69,2010
volkswagen,kombi,schwarz,benzin,manuell,150000,passat,3000,115,2007
volkswagen,kombi,schwarz,benzin,manuell,150000,passat,1500,130,2005
mercedes_benz,kombi,schwarz,diesel,automatik,150000,c_klasse,4000,122,2005
bmw,cabrio,violet,benzin,manuell,150000,3er,3000,116,2000
opel,limousine,schwarz,benzin,manuell,150000,astra,6000,140,2011
skoda,kombi,grau,benzin,automatik,150000,octavia,4000,102,2006
mercedes_benz,limousine,silber,benzin,automatik,150000,c_klasse,4000,136,2005
audi,kleinwagen,rot,benzin,automatik,70000,a1,9000,122,2013
citroen,kleinwagen,schwarz,benzin,manuell,80000,c3,3000,60,2009
ford,bus,weiss,benzin,manuell,150000,c_max,9000,125,2013
fiat,bus,beige,diesel,automatik,150000,500,14000,170,2012
ford,kombi,silber,benzin,manuell,150000,focus,2000,116,2005
mercedes_benz,coupe,beige,benzin,automatik,5000,andere,90000,330,1970
seat,limousine,schwarz,benzin,manuell,80000,leon,12000,125,2014
bmw,suv,weiss,diesel,automatik,150000,x_reihe,35000,258,2014
opel,cabrio,blau,benzin,manuell,150000,tigra,3500,125,2005
bmw,limousine,blau,benzin,manuell,150000,5er,6000,170,2005
volkswagen,kombi,schwarz,benzin,manuell,150000,golf,1500,115,2000
opel,kombi,weiss,benzin,manuell,30000,astra,20000,200,2015
mercedes_benz,kombi,silber,diesel,automatik,60000,e_klasse,25000,170,2015
volkswagen,limousine,rot,benzin,manuell,150000,golf,7000,122,2009
opel,kleinwagen,andere,benzin,manuell,150000,agila,500,75,2005
mercedes_benz,limousine,blau,diesel,manuell,60000,s_klasse,25000,80,1980
bmw,kombi,silber,benzin,manuell,150000,3er,3500,115,2005
bmw,limousine,weiss,benzin,automatik,125000,5er,25000,408,2011
kia,limousine,schwarz,benzin,manuell,80000,ceed,8000,90,2012
peugeot,bus,grau,benzin,manuell,70000,andere,9000,120,2013
volkswagen,bus,schwarz,diesel,manuell,150000,touran,10000,140,2012
mercedes_benz,kleinwagen,schwarz,benzin,automatik,150000,a_klasse,1500,82,2005
mercedes_benz,cabrio,silber,benzin,automatik,150000,sl,35000,231,1990
hyundai,kleinwagen,rot,benzin,manuell,60000,i_reihe,5000,67,2013
volkswagen,limousine,schwarz,benzin,automatik,150000,golf,15000,235,2011
mini,cabrio,schwarz,benzin,manuell,125000,cooper,9000,120,2009
volvo,limousine,blau,benzin,automatik,150000,s40,7000,106,2005
renault,kleinwagen,blau,benzin,manuell,150000,clio,1500,60,2005
volkswagen,kleinwagen,rot,diesel,manuell,60000,polo,8000,90,2011
opel,kleinwagen,blau,benzin,manuell,150000,agila,3500,65,2007
mercedes_benz,bus,weiss,diesel,automatik,150000,v_klasse,35000,190,2014
opel,kombi,blau,benzin,manuell,150000,astra,1000,75,2000
bmw,limousine,schwarz,benzin,manuell,150000,3er,2500,218,1995
mercedes_benz,limousine,beige,diesel,manuell,100000,andere,8000,57,1970
volkswagen,kleinwagen,grau,benzin,manuell,40000,up,8000,60,2015
