brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
ford,kombi,schwarz,benzin,manuell,150000,mondeo,7000,145,2009
volkswagen,limousine,grau,benzin,manuell,125000,passat,8000,122,2009
volkswagen,suv,blau,diesel,manuell,150000,touran,2000,143,2006
ford,kleinwagen,blau,benzin,manuell,150000,fiesta,2500,69,2006
land_rover,suv,schwarz,diesel,automatik,20000,range_rover,90000,340,2015
land_rover,suv,grau,diesel,automatik,50000,range_rover,70000,340,2015
audi,kombi,schwarz,diesel,automatik,90000,a6,27500,313,2012
sonstige_autos,,,diesel,,150000,,1000,,2000
volkswagen,,,,,5000,golf,50,,2000
audi,kombi,schwarz,diesel,automatik,150000,a6,12000,204,2012
renault,bus,rot,benzin,manuell,150000,megane,1000,16,2005
mercedes_benz,suv,silber,diesel,automatik,150000,m_klasse,6000,163,2005
kia,bus,silber,diesel,automatik,150000,carens,2000,113,2005
ford,coupe,schwarz,benzin,automatik,30000,mustang,50000,450,2015
volkswagen,limousine,silber,benzin,manuell,150000,golf,1000,75,2000
bmw,kombi,blau,diesel,manuell,150000,3er,2500,150,2005
audi,,,,,150000,a6,3000,,2006
seat,kleinwagen,,benzin,manuell,80000,ibiza,7000,69,2009
opel,suv,braun,diesel,manuell,150000,antara,5000,110,2006
bmw,limousine,schwarz,diesel,automatik,150000,1er,8000,177,2009
volkswagen,kleinwagen,rot,benzin,manuell,150000,polo,6000,150,2006
kia,kleinwagen,silber,benzin,manuell,80000,picanto,2000,65,2006
nissan,,,benzin,,20000,micra,1000,65,2005
fiat,kleinwagen,grau,benzin,manuell,5000,punto,1000,75,2005
hyundai,limousine,silber,diesel,manuell,150000,i_reihe,7000,110,2013
honda,andere,,benzin,,150000,civic,1000,125,1995
bmw,limousine,silber,diesel,manuell,150000,x_reihe,3500,177,2007
mini,kleinwagen,schwarz,benzin,automatik,60000,one,13000,98,2013
ford,bus,silber,diesel,manuell,150000,galaxy,5000,140,2010
seat,kleinwagen,blau,benzin,manuell,150000,ibiza,2000,86,2007
smart,kleinwagen,rot,benzin,automatik,80000,fortwo,2000,54,2005
renault,kleinwagen,blau,benzin,manuell,150000,twingo,1000,58,2000
sonstige_autos,,,,,5000,,500,,1960
bmw,kombi,schwarz,benzin,manuell,150000,5er,3000,231,2005
nissan,kleinwagen,silber,benzin,manuell,150000,micra,1500,603,2005
mercedes_benz,limousine,,benzin,manuell,150000,e_klasse,4500,177,2005
bmw,limousine,schwarz,benzin,automatik,150000,5er,12000,306,2009
volkswagen,,,,,20000,lupo,50,,2005
kia,kleinwagen,silber,benzin,manuell,80000,picanto,5000,69,2012
land_rover,suv,weiss,diesel,automatik,90000,range_rover_evoque,20000,150,2012
volvo,limousine,blau,diesel,automatik,125000,s80,25000,181,2015
opel,kombi,grau,diesel,automatik,20000,insignia,35000,209,2015
audi,suv,schwarz,diesel,automatik,50000,q7,55000,272,2015
seat,kleinwagen,schwarz,benzin,manuell,20000,mii,8000,60,2015
mercedes_benz,limousine,silber,benzin,manuell,150000,a_klasse,1000,102,2005
seat,kleinwagen,weiss,benzin,manuell,30000,mii,8000,75,2015
ford,bus,silber,diesel,automatik,150000,c_max,2000,109,2005
mercedes_benz,bus,silber,benzin,automatik,90000,b_klasse,7000,116,2006
skoda,kombi,weiss,benzin,manuell,10000,fabia,9000,95,2015
bmw,limousine,schwarz,lpg,automatik,150000,7er,15000,367,2006
audi,coupe,schwarz,benzin,automatik,50000,a5,35000,177,2015
ford,bus,schwarz,diesel,manuell,150000,galaxy,1000,131,2005
peugeot,kleinwagen,blau,diesel,manuell,150000,3_reihe,1500,109,2007
volkswagen,coupe,blau,benzin,manuell,125000,beetle,2000,115,2000
volkswagen,bus,grau,cng,manuell,150000,touran,6000,109,2006
toyota,kombi,grau,benzin,automatik,150000,avensis,2500,129,2006
ford,kombi,silber,diesel,manuell,150000,mondeo,1000,90,2005
audi,suv,grau,benzin,automatik,150000,q7,15000,370,2006
audi,kombi,weiss,benzin,automatik,40000,andere,45000,367,2015
ford,kombi,grau,diesel,manuell,150000,focus,2500,116,2007
opel,bus,blau,benzin,manuell,150000,zafira,1000,125,2005
mercedes_benz,kombi,gold,diesel,manuell,150000,c_klasse,1500,122,2005
ford,bus,blau,benzin,manuell,150000,c_max,2000,101,2006
opel,limousine,rot,benzin,automatik,125000,corsa,2500,90,2005
hyundai,kombi,schwarz,benzin,manuell,70000,i_reihe,9000,99,2012
renault,kombi,weiss,benzin,manuell,125000,megane,9000,179,2010
toyota,limousine,silber,diesel,manuell,125000,avensis,7000,126,2010
opel,kleinwagen,blau,benzin,manuell,90000,corsa,3000,60,2010
volkswagen,limousine,rot,diesel,manuell,150000,golf,13000,184,2013
volkswagen,kleinwagen,silber,benzin,manuell,150000,golf,1500,101,2000
volkswagen,limousine,,benzin,manuell,150000,polo,1000,,2000
bmw,,,,,5000,3er,1500,,2000
bmw,kombi,grau,benzin,manuell,150000,3er,4000,170,2000
seat,limousine,grau,diesel,automatik,150000,leon,7000,170,2011
volkswagen,bus,blau,benzin,manuell,150000,touran,3000,116,2005
hyundai,coupe,rot,benzin,manuell,150000,getz,2000,67,2006
bmw,limousine,gruen,benzin,manuell,150000,3er,,105,2000
volkswagen,bus,silber,diesel,automatik,80000,transporter,30000,180,2014
peugeot,limousine,,diesel,manuell,150000,4_reihe,3000,140,2005
bmw,limousine,schwarz,diesel,automatik,150000,5er,7000,218,2005
volkswagen,kleinwagen,silber,diesel,manuell,150000,golf,2000,,2000
volkswagen,bus,schwarz,diesel,manuell,150000,touran,4000,140,2005
fiat,bus,weiss,diesel,manuell,150000,andere,3500,75,2010
volkswagen,bus,schwarz,diesel,manuell,150000,touran,2000,101,2005
